iter	Passed	Remaining
642	45510	25267
643	45581	25197
644	45670	25136
645	45754	25072
646	45842	25011
647	45912	24940
648	45977	24865
649	46045	24793
650	46109	24719
651	46172	24643
652	46236	24569
653	46304	24497
654	46369	24423
655	46437	24351
656	46515	24284
657	46602	24221
658	46702	24166
659	46790	24104
660	46868	24036
661	46932	23962
662	46996	23887
663	47063	23815
664	47129	23741
665	47190	23666
666	47261	23595
667	47325	23520
668	47391	23447
669	47457	23374
670	47523	23301
671	47586	23226
672	47656	23155
673	47719	23081
674	47785	23008
675	47851	22934
676	47919	22862
677	47986	22789
678	48048	22715
679	48111	22640
680	48178	22568
681	48245	22495
682	48308	22421
683	48372	22347
684	48440	22275
685	48506	22202
686	48584	22135
687	48654	22064
688	48715	21989
689	48782	21916
690	48846	21843
691	48909	21768
692	48978	21697
693	49039	21622
694	49097	21546
695	49157	21471
696	49214	21394
697	49266	21315
698	49326	21240
699	49378	21162
700	49433	21085
701	49492	21009
702	49553	20935
703	49605	20856
704	49659	20779
705	49713	20702
706	49768	20625
707	49820	20547
708	49879	20472
709	49933	20395
710	49988	20318
711	50043	20242
712	50096	20164
713	50149	20087
714	50205	20011
715	50257	19934
716	50310	19857
717	50365	19781
718	50422	19706
719	50474	19629
720	50530	19553
721	50586	19478
722	50642	19402
723	50701	19328
724	50758	19253
725	50818	19179
726	50881	19106
727	50950	19036
728	51026	18968
729	51103	18901
730	51176	18832
731	51229	18756
732	51282	18679
733	51339	18605
734	51393	18529
735	51450	18455
736	51506	18380
737	51564	18306
738	51616	18229
739	51670	18154
740	51723	18078
741	51777	18003
742	51836	17929
743	51911	17862
744	51989	17795
745	52064	17727
746	52134	17657
747	52186	17581
748	52239	17506
749	52296	17432
750	52347	17356
751	52402	17281
752	52455	17206
753	52515	17133
754	52569	17059
755	52624	16984
756	52679	16910
757	52732	16835
758	52785	16760
759	52847	16688
760	52901	16614
761	52959	16541
762	53011	16466
763	53067	16392
764	53119	16317
765	53174	16243
766	53227	16169
767	53280	16095
768	53333	16020
769	53388	15947
770	53443	15873
771	53498	15800
772	53552	15726
773	53611	15654
774	53665	15580
775	53723	15507
776	53779	15434
777	53834	15361
778	53886	15287
779	53941	15214
780	53995	15140
781	54050	15067
782	54102	14993
783	54160	14921
784	54211	14847
785	54265	14774
786	54318	14701
787	54373	14628
788	54424	14554
789	54476	14481
790	54531	14408
791	54585	14335
792	54637	14262
793	54691	14189
794	54745	14116
795	54801	14044
796	54857	13972
797	54915	13900
798	54970	13828
799	55022	13755
800	55075	13683
801	55128	13610
802	55180	13537
803	55235	13465
804	55289	13393
805	55347	13321
806	55396	13248
807	55452	13176
808	55503	13104
809	55557	13032
810	55611	12959
811	55666	12888
812	55720	12816
813	55773	12744
814	55827	12672
815	55883	12601
816	55936	12529
817	55994	12458
818	56050	12387
819	56106	12316
820	56185	12249
821	56254	12181
822	56339	12116
823	56418	12050
824	56481	11980
825	56546	11911
826	56613	11842
827	56674	11772
828	56733	11702
829	56801	11634
830	56868	11565
831	56933	11496
832	57005	11428
833	57071	11359
834	57164	11295
835	57249	11230
836	57339	11166
837	57404	11097
838	57471	11028
839	57539	10959
840	57599	10889
841	57663	10820
842	57723	10750
843	57786	10680
844	57847	10611
845	57914	10542
846	57979	10473
847	58043	10403
848	58108	10334
849	58165	10264
850	58224	10194
851	58291	10125
852	58353	10056
853	58410	9985
854	58464	9915
855	58523	9845
856	58575	9773
857	58631	9703
858	58686	9633
859	58740	9562
860	58793	9491
861	58853	9421
862	58905	9351
863	58958	9280
864	59013	9210
865	59077	9141
866	59134	9071
867	59190	9001
868	59244	8930
869	59299	8860
870	59353	8790
871	59410	8720
872	59466	8650
873	59522	8581
874	59578	8511
875	59629	8440
876	59681	8370
877	59736	8300
878	59796	8231
879	59851	8161
880	59910	8092
881	59966	8022
882	60019	7952
883	60075	7883
884	60132	7813
885	60185	7743
886	60238	7674
887	60296	7604
888	60352	7535
889	60406	7465
890	60458	7396
891	60515	7327
892	60568	7257
893	60624	7188
894	60679	7118
895	60732	7049
896	60784	6979
897	60838	6910
898	60892	6841
899	60963	6773
900	61015	6704
901	61073	6635
902	61127	6566
903	61188	6497
904	61248	6429
905	61302	6360
906	61356	6291
907	61416	6222
908	61488	6155
909	61573	6089
910	61659	6023
911	61727	5956
912	61781	5887
913	61839	5818
914	61892	5749
915	61948	5680
916	62003	5612
917	62060	5543
918	62115	5474
919	62172	5406
920	62223	5337
921	62278	5268
922	62329	5199
923	62392	5131
924	62470	5065
925	62546	4998
926	62616	4930
927	62670	4862
928	62732	4794
929	62787	4725
930	62843	4657
931	62906	4589
932	62972	4522
933	63032	4454
934	63097	4386
935	63164	4318
936	63228	4251
937	63299	4183
938	63364	4116
939	63431	4048
940	63494	3981
941	63549	3912
942	63607	3844
943	63660	3776
944	63717	3708
945	63773	3640
946	63827	3572
947	63883	3504
948	63936	3435
